TOPIC,SUBTOPIC,SUBTOPIC_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,FLAG,FOOTNOTE_ID_LIST,STATE_FIPS
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,1980,1,4.5,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,1990,2,3.7,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,2000,3,2.9,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,2009,4,2.6,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,2010,5,2.6,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,2014,6,2.5,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,2015,7,2.4,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,2016,8,2.5,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,2017,9,2.5,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,2018,10,2.4,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,2019,11,2.4,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Total,0,Total,0,0,United States,0,0,"Beds per 1,000 resident population",1,2020,12,2.4,,,"FN0466,NT0064,SC0056,NT9999",0
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,1980,1,5.1,,,"FN0466,NT0064,SC0056,NT9999",1
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,1990,2,4.6,,,"FN0466,NT0064,SC0056,NT9999",1
